qseqid	sseqid	qstart	qend	sstart	send	evalue	bitscore	pident	qcovs	slen	qlen	q_perc_aligned	overlapped_bases
35_R	NZ_CP072908.1	1	2368	26486	28853	0.0	4368.0	99.958	84	60525	2828	0.8373408769448374	0
35	NZ_CP073005.1	455	2828	6596	8969	0.0	4263.0	99.073	84	62001	2828	0.8394625176803394	0
27_R	NZ_CP073005.1	1892	13444	10396	21930	0.0	20576.0	98.84	61	62001	19051	0.6064248595874232	0
128	NZ_CP073579.1	36	114	130182	130260	3.53e-28	130.0	96.203	69	1690710	114	0.6929824561403509	0
107	NZ_CP074588.1	59	138	1123697	1123777	1.25e-28	132.0	96.296	58	1319534	139	0.5755395683453237	0
89_R	NZ_CP074588.1	39	210	1125858	1126029	1.53e-59	235.0	91.279	82	1319534	210	0.819047619047619	0
99_R	NZ_CP074588.1	89	159	1126016	1126086	7e-17	93.5	90.141	45	1319534	159	0.4465408805031446	0
57	NZ_CP074588.1	1	523	1126134	1126656	0.0	684.0	90.377	100	1319534	523	1.0	0
27	NZ_CP075067.1	4557	10862	1	6304	0.0	11428.0	99.382	33	60959	19051	0.3310062463912655	0
35_R	NZ_CP075067.1	1	2368	16549	18916	0.0	4368.0	99.958	84	60959	2828	0.8373408769448374	0
98	NZ_CP075126.1	1	162	9463	9624	4.02e-69	267.0	96.296	99	136500	163	0.9938650306748468	0
98_R	NZ_CP075126.1	2	163	12928	13089	4.02e-69	267.0	96.296	99	136500	163	0.9938650306748468	0
55_R	NZ_CP075126.1	1	556	13148	13694	0.0	741.0	91.039	100	136500	556	1.0	0
61_R	NZ_CP075126.1	1	431	13695	14125	8.2e-160	569.0	90.487	99	136500	432	0.9976851851851852	0
98	NZ_CP075130.1	1	162	5631	5792	4.02e-69	267.0	96.296	99	137164	163	0.9938650306748468	0
98_R	NZ_CP075130.1	2	163	9094	9255	4.02e-69	267.0	96.296	99	137164	163	0.9938650306748468	0
55_R	NZ_CP075130.1	1	556	9314	9860	0.0	741.0	91.039	100	137164	556	1.0	0
61_R	NZ_CP075130.1	1	431	9861	10291	8.2e-160	569.0	90.487	99	137164	432	0.9976851851851852	0
35_R	NZ_CP075701.1	1	2368	26714	29081	0.0	4351.0	99.831	84	59820	2828	0.8373408769448374	0
98_R	NZ_CP075717.1	1	163	38662	38824	5.23e-63	246.0	93.865	100	162438	163	1.0	0
55_R	NZ_CP075717.1	1	556	38883	39437	0.0	726.0	90.323	100	162438	556	1.0	0
61_R	NZ_CP075717.1	1	432	39438	39869	1.06e-158	566.0	90.278	100	162438	432	1.0	0
35_R	NZ_CP075719.1	1	2368	28777	31144	0.0	4368.0	99.958	84	63918	2828	0.8373408769448374	0
22	NZ_CP075733.1	1	22132	1	22135	0.0	40612.0	99.788	69	33858	32098	0.6895133653187114	0
99	NZ_CP076061.1	2	49	795513	795560	9.12e-11	73.1	93.75	30	2510418	159	0.3018867924528302	0
89	NZ_CP076061.1	1	171	795568	795737	1.98e-58	231.0	91.228	81	2510418	210	0.8142857142857143	0
89_R	NZ_CP076061.1	40	210	1427278	1427447	1.98e-58	231.0	91.228	81	2510418	210	0.8142857142857143	0
35	NZ_CP076233.1	455	2828	46745	49118	0.0	4362.0	99.832	84	55027	2828	0.8394625176803394	0
98	NZ_CP076263.1	1	159	3246	3404	1.89e-57	228.0	92.453	98	77652	163	0.9754601226993864	0
98_R	NZ_CP076265.1	2	160	30015	30173	8.82e-56	222.0	91.824	98	145019	163	0.9754601226993864	0
98	NZ_CP076271.1	1	159	26604	26762	1.89e-57	228.0	92.453	98	127140	163	0.9754601226993864	0
98	NZ_CP076275.1	1	159	9402	9560	1.89e-57	228.0	92.453	98	153041	163	0.9754601226993864	0
98	NZ_CP076283.1	1	159	57572	57730	1.89e-57	228.0	92.453	98	77995	163	0.9754601226993864	0
98_R	NZ_CP076302.1	1	104	104731	104834	7.0100000000000005e-37	159.0	94.231	64	127528	163	0.6380368098159509	0
98_R	NZ_CP076306.1	1	104	66798	66901	7.0100000000000005e-37	159.0	94.231	64	89595	163	0.6380368098159509	0
36	NZ_CP076316.1	931	2101	1	1171	0.0	2163.0	100.0	100	2101	2101	0.5573536411232747	0
36	NZ_CP076316.1	1	930	1172	2101	0.0	1701.0	99.678	100	2101	2101	0.4426463588767254	0
36	NZ_CP076347.1	1136	2101	1	966	0.0	1784.0	100.0	100	2113	2101	0.4597810566396954	0
36	NZ_CP076347.1	1	1135	967	2113	0.0	2030.0	98.78	100	2113	2101	0.5402189433603046	0
107_R	NZ_CP076366.1	7	72	839	903	2.74e-20	104.0	95.455	47	141504	139	0.4748201438848921	0
98	NZ_CP076655.1	1	163	154318	154480	5.2700000000000005e-58	230.0	92.025	100	166302	163	1.0	0
55	NZ_CP076711.1	321	499	26704	26882	2.61e-71	276.0	94.413	32	69043	556	0.3219424460431654	0
132	NZ_CP077309.1	1	103	77808	77910	6.56e-45	185.0	99.029	99	606597	104	0.9903846153846154	0
39_R	NZ_CP077309.1	1	1688	77981	79670	0.0	2804.0	96.629	100	606597	1688	1.0	0
113_R	NZ_CP077309.1	2	43	79683	79723	2.57e-10	71.3	97.619	33	606597	131	0.3206106870229007	0
57_R	NZ_CP077309.1	1	523	79732	80254	0.0	939.0	99.044	100	606597	523	1.0	0
99	NZ_CP077309.1	1	51	80302	80352	1.95e-17	95.3	100.0	32	606597	159	0.320754716981132	0
89	NZ_CP077309.1	1	207	80359	80565	2.44e-92	344.0	96.618	99	606597	210	0.9857142857142858	0
68	NZ_CP077309.1	1	347	80570	80915	5.11e-146	523.0	93.966	100	606597	347	1.0	0
130_R	NZ_CP077309.1	10	93	81066	81149	2.5199999999999998e-34	150.0	98.81	78	606597	108	0.7777777777777778	0
114	NZ_CP077309.1	1	131	81251	81382	5.19e-57	226.0	97.744	100	606597	131	1.0	0
43	NZ_CP077309.1	1	1475	81389	82863	0.0	2531.0	97.627	100	606597	1475	1.0	0
107_R	NZ_CP077309.1	1	139	82865	83008	7.240000000000001e-56	222.0	95.139	100	606597	139	1.0	0
92	NZ_CP077309.1	1	111	83062	83170	8.829999999999999e-42	176.0	95.495	56	606597	199	0.5577889447236181	0
128_R	NZ_CP077309.1	1	89	153654	153742	2.09e-35	154.0	97.753	78	606597	114	0.7807017543859649	0
132	NZ_CP077309.1	1	103	153789	153891	6.56e-45	185.0	99.029	99	606597	104	0.9903846153846154	0
39_R	NZ_CP077309.1	1	1688	153963	155652	0.0	2804.0	96.629	100	606597	1688	1.0	0
113_R	NZ_CP077309.1	2	43	155665	155705	2.57e-10	71.3	97.619	33	606597	131	0.3206106870229007	0
57_R	NZ_CP077309.1	1	523	155714	156236	0.0	939.0	99.044	100	606597	523	1.0	0
99	NZ_CP077309.1	1	51	156284	156334	1.95e-17	95.3	100.0	32	606597	159	0.320754716981132	0
89	NZ_CP077309.1	1	207	156341	156547	2.44e-92	344.0	96.618	99	606597	210	0.9857142857142858	0
68	NZ_CP077309.1	1	347	156552	156897	1.11e-137	496.0	92.529	100	606597	347	1.0	0
130_R	NZ_CP077309.1	10	93	157048	157131	2.5199999999999998e-34	150.0	98.81	78	606597	108	0.7777777777777778	0
114	NZ_CP077309.1	1	131	157233	157364	5.19e-57	226.0	97.744	100	606597	131	1.0	0
43	NZ_CP077309.1	1	1475	157371	158845	0.0	2564.0	98.034	100	606597	1475	1.0	0
107_R	NZ_CP077309.1	1	139	158847	158990	7.240000000000001e-56	222.0	95.139	100	606597	139	1.0	0
132	NZ_CP077309.1	1	103	277186	277288	6.56e-45	185.0	99.029	99	606597	104	0.9903846153846154	0
39_R	NZ_CP077309.1	1	1688	277359	279048	0.0	2793.0	96.511	100	606597	1688	1.0	0
113_R	NZ_CP077309.1	1	43	279060	279101	7.15e-11	73.1	97.674	33	606597	131	0.3282442748091603	0
57_R	NZ_CP077309.1	1	523	279109	279631	0.0	939.0	99.044	100	606597	523	1.0	0
99	NZ_CP077309.1	1	51	279679	279729	1.95e-17	95.3	100.0	32	606597	159	0.320754716981132	0
89	NZ_CP077309.1	1	207	279736	279942	2.44e-92	344.0	96.618	99	606597	210	0.9857142857142858	0
68	NZ_CP077309.1	1	347	279947	280292	1.11e-142	512.0	93.391	100	606597	347	1.0	0
85_R	NZ_CP077309.1	1	217	280388	280604	1.61e-74	285.0	90.411	97	606597	223	0.9730941704035876	0
43	NZ_CP077309.1	1	1475	280611	282085	0.0	2586.0	98.306	100	606597	1475	1.0	0
107_R	NZ_CP077309.1	1	139	282087	282230	7.240000000000001e-56	222.0	95.139	100	606597	139	1.0	0
92	NZ_CP077309.1	1	111	282283	282391	8.829999999999999e-42	176.0	95.495	56	606597	199	0.5577889447236181	0
22	NZ_CP077663.1	1	17033	1707	18740	0.0	31399.0	99.941	53	33308	32098	0.5306561156458346	0
61	NZ_CP077692.1	2	432	4834	5264	8.2e-160	569.0	90.487	99	137180	432	0.9976851851851852	0
55	NZ_CP077692.1	1	556	5265	5811	0.0	736.0	90.86	100	137180	556	1.0	0
98	NZ_CP077692.1	1	162	5870	6031	4.02e-69	267.0	96.296	99	137180	163	0.9938650306748468	0
98_R	NZ_CP077692.1	2	163	9333	9494	4.02e-69	267.0	96.296	99	137180	163	0.9938650306748468	0
61	NZ_CP077694.1	2	432	4834	5264	8.2e-160	569.0	90.487	99	137153	432	0.9976851851851852	0
55	NZ_CP077694.1	1	556	5265	5811	0.0	736.0	90.86	100	137153	556	1.0	0
98	NZ_CP077694.1	1	162	5870	6031	4.02e-69	267.0	96.296	99	137153	163	0.9938650306748468	0
98_R	NZ_CP077694.1	2	163	9334	9495	4.02e-69	267.0	96.296	99	137153	163	0.9938650306748468	0
61	NZ_CP077700.1	2	432	4840	5270	8.2e-160	569.0	90.487	99	136494	432	0.9976851851851852	0
55	NZ_CP077700.1	1	556	5271	5817	0.0	741.0	91.039	100	136494	556	1.0	0
98	NZ_CP077700.1	1	162	5876	6037	4.02e-69	267.0	96.296	99	136494	163	0.9938650306748468	0
98_R	NZ_CP077700.1	2	163	9341	9502	4.02e-69	267.0	96.296	99	136494	163	0.9938650306748468	0
61	NZ_CP077707.1	2	432	4834	5264	8.2e-160	569.0	90.487	99	137180	432	0.9976851851851852	0
55	NZ_CP077707.1	1	556	5265	5811	0.0	741.0	91.039	100	137180	556	1.0	0
98	NZ_CP077707.1	1	162	5870	6031	4.02e-69	267.0	96.296	99	137180	163	0.9938650306748468	0
98_R	NZ_CP077707.1	2	163	9333	9494	4.02e-69	267.0	96.296	99	137180	163	0.9938650306748468	0
99	NZ_CP077849.1	1	52	629658	629709	1.17e-14	86.1	96.154	33	3658084	159	0.3270440251572327	0
89	NZ_CP077849.1	2	172	629716	629886	1.18e-60	239.0	91.813	83	3658084	210	0.8142857142857143	0
107_R	NZ_CP077849.1	7	71	632323	632387	5.88e-22	110.0	96.923	51	3658084	139	0.4676258992805755	0
99	NZ_CP077849.1	1	52	662020	662071	1.17e-14	86.1	96.154	33	3658084	159	0.3270440251572327	0
89	NZ_CP077849.1	2	172	662078	662248	1.18e-60	239.0	91.813	83	3658084	210	0.8142857142857143	0
107_R	NZ_CP077849.1	7	71	664685	664749	5.88e-22	110.0	96.923	51	3658084	139	0.4676258992805755	0
99	NZ_CP077849.1	1	52	1130460	1130511	1.17e-14	86.1	96.154	33	3658084	159	0.3270440251572327	0
89	NZ_CP077849.1	2	172	1130518	1130688	1.18e-60	239.0	91.813	83	3658084	210	0.8142857142857143	0
107_R	NZ_CP077849.1	7	71	1133125	1133189	5.88e-22	110.0	96.923	51	3658084	139	0.4676258992805755	0
107	NZ_CP077849.1	63	133	1184052	1184122	5.88e-22	110.0	94.366	51	3658084	139	0.5107913669064749	0
89_R	NZ_CP077849.1	36	209	1186556	1186729	1.18e-60	239.0	91.379	83	3658084	210	0.8285714285714286	0
99_R	NZ_CP077849.1	108	159	1186736	1186787	1.17e-14	86.1	96.154	33	3658084	159	0.3270440251572327	0
107	NZ_CP077849.1	63	133	1353758	1353828	5.88e-22	110.0	94.366	51	3658084	139	0.5107913669064749	0
89_R	NZ_CP077849.1	36	209	1356262	1356435	1.18e-60	239.0	91.379	83	3658084	210	0.8285714285714286	0
99_R	NZ_CP077849.1	108	159	1356442	1356493	1.17e-14	86.1	96.154	33	3658084	159	0.3270440251572327	0
107	NZ_CP077849.1	63	133	1835157	1835227	5.88e-22	110.0	94.366	51	3658084	139	0.5107913669064749	0
89_R	NZ_CP077849.1	36	209	1837661	1837834	1.18e-60	239.0	91.379	83	3658084	210	0.8285714285714286	0
99_R	NZ_CP077849.1	108	159	1837841	1837892	1.17e-14	86.1	96.154	33	3658084	159	0.3270440251572327	0
36_R	NZ_CP079616.1	450	2101	1	1652	0.0	3040.0	99.879	79	2101	2101	0.786292241789624	0
36_R	NZ_CP079691.1	73	2101	1	2029	0.0	3736.0	99.901	97	2101	2101	0.96573060447406	0
22	NZ_CP079775.1	1	13867	19720	33587	0.0	25580.0	99.964	43	33587	32098	0.4320206866471431	0
22_R	NZ_CP079779.1	19398	32098	1	12702	0.0	23427.0	99.961	69	37819	32098	0.3956944357903919	0
22_R	NZ_CP079779.1	9967	23362	24422	37819	0.0	24496.0	99.672	69	37819	32098	0.4173468751947162	0
22_R	NZ_CP079887.1	15063	30284	31172	46394	0.0	28066.0	99.947	47	46394	32098	0.4742351548383077	0
27	NZ_CP079893.1	2782	10862	8643	16728	0.0	14700.0	99.493	42	61228	19051	0.4241772085454832	0
35_R	NZ_CP079893.1	1	2828	26968	29795	0.0	5212.0	99.929	100	61228	2828	1.0	0
22_R	NZ_CP080094.1	15063	32098	1468	18504	0.0	31410.0	99.947	53	33310	32098	0.5307495794130476	0
27	NZ_CP080130.1	2782	10862	8640	16719	0.0	14672.0	99.443	42	60659	19051	0.4241772085454832	0
35_R	NZ_CP080130.1	1	2368	26964	29331	0.0	4368.0	99.958	84	60659	2828	0.8373408769448374	0
27	NZ_CP080136.1	2782	10862	8640	16720	0.0	14663.0	99.418	42	60961	19051	0.4241772085454832	0
35_R	NZ_CP080136.1	1	2368	26965	29332	0.0	4368.0	99.958	84	60961	2828	0.8373408769448374	0
27	NZ_CP080141.1	2782	10862	8640	16719	0.0	14672.0	99.443	42	62272	19051	0.4241772085454832	0
35_R	NZ_CP080141.1	1	2828	26964	29791	0.0	5217.0	99.965	100	62272	2828	1.0	0
27	NZ_CP080148.1	2782	10892	8640	16749	0.0	14689.0	99.359	43	60979	19051	0.4257519290325967	0
35_R	NZ_CP080148.1	1	2828	26982	29809	0.0	5217.0	99.965	100	60979	2828	1.0	0
61	NZ_CP080226.1	167	432	4527	4792	4.15e-98	364.0	91.353	62	82610	432	0.6157407407407407	0
55	NZ_CP080226.1	91	556	6718	7182	6.26e-177	627.0	90.987	84	82610	556	0.8381294964028777	0
98	NZ_CP080226.1	1	162	7241	7402	1.88e-62	244.0	93.827	99	82610	163	0.9938650306748468	0
61	NZ_CP080236.1	167	432	8623	8888	4.15e-98	364.0	91.353	62	83443	432	0.6157407407407407	0
55	NZ_CP080236.1	1	556	8889	9443	0.0	749.0	91.007	100	83443	556	1.0	0
98	NZ_CP080236.1	1	162	9502	9663	1.88e-62	244.0	93.827	99	83443	163	0.9938650306748468	0
22_R	NZ_CP080307.1	14340	32098	1	17762	0.0	32764.0	99.966	55	31808	32098	0.5532743473113589	0
22	NZ_CP080313.1	1	17028	14778	31808	0.0	31414.0	99.965	53	31808	32098	0.5305003427004797	0
36_R	NZ_CP080374.1	648	2101	1	1441	0.0	2579.0	98.831	100	2088	2101	0.6920514040932889	0
36_R	NZ_CP080374.1	1	647	1442	2088	0.0	1195.0	100.0	100	2088	2101	0.3079485959067111	0
107_R	NZ_CP081118.1	8	72	217	280	2.13e-16	91.6	92.308	47	283438	139	0.4676258992805755	0
27	NZ_CP081196.1	5608	14498	11422	20325	0.0	15688.0	98.498	47	63009	19051	0.4666946616975487	0
35_R	NZ_CP081196.1	1	2368	28761	31128	0.0	4285.0	99.324	84	63009	2828	0.8373408769448374	0
36_R	NZ_CP081310.1	11	2101	1	2078	0.0	3755.0	99.187	99	2088	2101	0.9952403617325084	0
35	NZ_CP081339.1	455	2828	3722	6095	0.0	4368.0	99.874	84	62279	2828	0.8394625176803394	0
55	NZ_CP081343.1	92	439	121550	121897	3.13e-125	455.0	90.23	63	135135	556	0.6258992805755396	0
98	NZ_CP081343.1	1	159	124420	124578	4.0999999999999995e-54	217.0	91.195	98	135135	163	0.9754601226993864	0
36_R	NZ_CP082051.1	79	2101	1	2026	0.0	3711.0	99.753	96	2104	2101	0.962874821513565	0
22	NZ_CP082060.1	4676	17033	1	12349	0.0	22175.0	99.069	71	33429	32098	0.3850084117390491	0
22	NZ_CP082060.1	19303	29586	14973	25252	0.0	18633.0	99.378	71	33429	32098	0.320393794005857	0
36_R	NZ_CP082065.1	1048	2101	1	1066	0.0	1881.0	98.688	98	2183	2101	0.5016658733936221	0
36_R	NZ_CP082065.1	44	1047	1180	2183	0.0	1855.0	100.0	98	2183	2101	0.4778676820561637	0
36_R	NZ_CP082126.1	620	2101	1	1469	0.0	2630.0	98.853	71	2088	2101	0.7053783912422655	0
36	NZ_CP082132.1	1	2009	93	2100	0.0	3681.0	99.751	96	2100	2101	0.9562113279390766	0
130_R	NZ_CP082364.1	15	81	173256	173322	1.54e-21	108.0	95.588	62	395960	108	0.6203703703703703	0
22	NZ_CP082794.1	1	12614	22071	34685	0.0	23261.0	99.952	39	34685	32098	0.3929839865412175	0
22	NZ_CP082830.1	4397	26897	1	22500	0.0	41107.0	99.644	70	32040	32098	0.7010094086858994	0
61	NZ_CP082930.1	2	432	113474	113907	2.28e-160	571.0	90.575	99	165260	432	0.9976851851851852	0
55	NZ_CP082930.1	1	521	113908	114428	0.0	730.0	91.969	94	165260	556	0.9370503597122302	0
98	NZ_CP082930.1	1	162	114512	114673	1.89e-57	228.0	91.975	99	165260	163	0.9938650306748468	0
36_R	NZ_CP083080.1	978	2101	1	1124	0.0	2065.0	99.822	100	2101	2101	0.5349833412660637	0
36_R	NZ_CP083080.1	1	977	1125	2101	0.0	1805.0	100.0	100	2101	2101	0.4650166587339362	0
36_R	NZ_CP083708.1	1472	2101	505	1133	0.0	1134.0	99.209	83	2634	2101	0.2998572108519752	0
36_R	NZ_CP083708.1	1	1114	1134	2247	0.0	2047.0	99.821	83	2634	2101	0.5302237029985721	0
22	NZ_CP083882.1	11792	23165	1	11374	0.0	20251.0	98.808	68	50447	32098	0.3543522960932145	0
22	NZ_CP083882.1	1470	23165	22960	44660	0.0	38767.0	98.917	68	50447	32098	0.6759299644837684	0
61	NZ_CP084057.1	2	432	150627	151057	3.79e-163	580.0	90.951	99	280258	432	0.9976851851851852	0
55	NZ_CP084057.1	1	521	151058	151576	0.0	684.0	90.403	94	280258	556	0.9370503597122302	0
98	NZ_CP084057.1	1	162	151660	151821	8.75e-61	239.0	93.21	99	280258	163	0.9938650306748468	0
89_R	NZ_CP084288.1	40	210	113667	113836	1.98e-58	231.0	91.228	81	439699	210	0.8142857142857143	0
98	NZ_CP084508.1	1	160	61090	61248	1.89e-57	228.0	92.5	98	145764	163	0.98159509202454	0
107	NZ_CP084952.1	65	129	8924	8987	2.13e-16	91.6	92.308	47	313826	139	0.4676258992805755	0
107_R	NZ_CP084961.1	8	72	219681	219744	2.13e-16	91.6	92.308	47	230345	139	0.4676258992805755	0
36	NZ_CP085067.1	348	2101	1	1754	0.0	3240.0	100.0	83	2101	2101	0.834840552118039	0
107	NZ_CP085145.1	65	129	25951	26014	2.13e-16	91.6	92.308	47	284454	139	0.4676258992805755	0
107	NZ_CP085168.1	65	129	34455	34518	2.13e-16	91.6	92.308	47	336544	139	0.4676258992805755	0
35_R	NZ_CP085185.1	1	2828	28995	31822	0.0	5212.0	99.929	100	63359	2828	1.0	0
36_R	NZ_CP085191.1	1	1956	146	2088	0.0	3506.0	99.131	93	2088	2101	0.9309852451213708	0
89_R	NZ_CP086019.1	40	210	1266543	1266712	1.98e-58	231.0	91.228	81	1996921	210	0.8142857142857143	0
89_R	NZ_CP086105.1	40	210	1398284	1398453	1.98e-58	231.0	91.228	81	2073962	210	0.8142857142857143	0
99	NZ_CP086266.1	2	49	1799106	1799153	9.12e-11	73.1	93.75	30	2069415	159	0.3018867924528302	0
89	NZ_CP086266.1	1	171	1799161	1799330	1.98e-58	231.0	91.228	81	2069415	210	0.8142857142857143	0
35_R	NZ_CP086475.1	1	2368	26956	29323	0.0	4279.0	99.282	84	61289	2828	0.8373408769448374	0
22_R	NZ_CP086476.1	15050	30655	8664	24271	0.0	27447.0	98.412	49	33826	32098	0.4861985170415602	0
35_R	NZ_CP086485.1	1	2368	26956	29323	0.0	4279.0	99.282	84	61289	2828	0.8373408769448374	0
22	NZ_CP086486.1	4364	17049	1	12685	0.0	22805.0	99.117	40	33826	32098	0.3952271169543274	0
35_R	NZ_CP086495.1	1	2368	25630	27997	0.0	4279.0	99.282	84	59963	2828	0.8373408769448374	0
22	NZ_CP086496.1	4364	17049	1	12685	0.0	22805.0	99.117	40	33826	32098	0.3952271169543274	0
35_R	NZ_CP086505.1	1	2368	26956	29323	0.0	4279.0	99.282	84	61289	2828	0.8373408769448374	0
22	NZ_CP086506.1	1441	14271	20993	33826	0.0	22755.0	98.676	40	33826	32098	0.399744532369618	0
35_R	NZ_CP086515.1	1	2368	26956	29323	0.0	4279.0	99.282	84	61289	2828	0.8373408769448374	0
22	NZ_CP086516.1	1441	17049	16891	32501	0.0	27658.0	98.649	49	33826	32098	0.4862919808087731	0
22_R	NZ_CP086529.1	15050	30655	122	15729	0.0	27686.0	98.687	49	34058	32098	0.4861985170415602	0
22_R	NZ_CP086535.1	20798	30655	1	9861	0.0	17387.0	98.5	31	34058	32098	0.3071219390616237	0
22	NZ_CP086541.1	1441	17049	3499	19109	0.0	27686.0	98.681	49	34058	32098	0.4862919808087731	0
22	NZ_CP086547.1	1441	13842	21654	34058	0.0	21996.0	98.678	39	34058	32098	0.3863792136581718	0
27	NZ_CP086608.1	2782	10862	8640	16719	0.0	14678.0	99.456	42	61140	19051	0.4241772085454832	0
35_R	NZ_CP086608.1	1	2368	26964	29330	0.0	4361.0	99.916	84	61140	2828	0.8373408769448374	0
130	NZ_CP087125.1	28	99	21373	21444	2.57e-19	100.0	91.781	67	395512	108	0.6666666666666666	0
98_R	NZ_CP087288.1	1	163	19664	19826	5.2700000000000005e-58	230.0	92.025	100	195721	163	1.0	0
132	NZ_CP087347.1	1	103	7	109	3.05e-43	180.0	98.058	99	5402	104	0.9903846153846154	0
39_R	NZ_CP087347.1	1	1688	212	1902	0.0	2621.0	94.681	100	5402	1688	1.0	0
113_R	NZ_CP087347.1	2	43	1915	1955	2.57e-10	71.3	97.619	32	5402	131	0.3206106870229007	0
57_R	NZ_CP087347.1	1	515	1964	2478	0.0	907.0	98.447	98	5402	523	0.9847036328871892	0
99	NZ_CP087347.1	1	52	2534	2585	1.17e-14	86.1	96.154	33	5402	159	0.3270440251572327	0
89	NZ_CP087347.1	2	210	2592	2800	8.82e-87	326.0	94.737	99	5402	210	0.9952380952380953	0
68	NZ_CP087347.1	1	347	2802	3148	1.44e-136	492.0	92.264	100	5402	347	1.0	0
43	NZ_CP087347.1	1	1456	3527	4981	0.0	2405.0	96.5	99	5402	1475	0.9871186440677966	0
107_R	NZ_CP087347.1	2	85	5003	5087	7.55e-26	122.0	92.941	60	5402	139	0.60431654676259	0
22	NZ_CP089138.1	1	17033	1	17034	0.0	31416.0	99.959	53	33309	32098	0.5306561156458346	0
35	NZ_CP089770.1	455	2828	26350	28723	0.0	4263.0	99.073	84	99554	2828	0.8394625176803394	0
27_R	NZ_CP089770.1	1892	13444	30150	41684	0.0	20582.0	98.849	61	99554	19051	0.6064248595874232	0
35	NZ_CP089770.1	455	2828	63712	66085	0.0	4263.0	99.073	84	99554	2828	0.8394625176803394	0
27_R	NZ_CP089770.1	1892	13444	67512	79046	0.0	20582.0	98.849	61	99554	19051	0.6064248595874232	0
107	NZ_CP089967.1	65	129	63750	63813	4.58e-18	97.1	93.846	47	309984	139	0.4676258992805755	0
107	NZ_CP090023.1	65	129	102182	102245	4.58e-18	97.1	93.846	47	298439	139	0.4676258992805755	0
106_R	NZ_CP090424.1	50	141	15404	15494	2.14e-26	124.0	91.304	65	42189	141	0.6524822695035462	0
132	NZ_CP090424.1	1	104	15619	15722	3.92e-47	193.0	100.0	100	42189	104	1.0	0
22	NZ_CP090574.1	1	17033	5716	22749	0.0	31416.0	99.959	53	33309	32098	0.5306561156458346	0
89_R	NZ_CP091013.1	40	210	592855	593024	1.98e-58	231.0	91.228	81	3224222	210	0.8142857142857143	0
99	NZ_CP091014.1	1	50	425271	425320	3.28e-10	71.3	92.0	31	1096197	159	0.3144654088050314	0
89	NZ_CP091014.1	1	171	425327	425496	1.98e-58	231.0	91.228	81	1096197	210	0.8142857142857143	0
98_R	NZ_CP091023.1	1	163	68433	68595	1.13e-59	235.0	92.638	100	87231	163	1.0	0
98	NZ_CP091025.1	1	163	47980	48142	1.13e-59	235.0	92.638	100	71807	163	1.0	0
98	NZ_CP091027.1	1	163	67166	67328	2.45e-56	224.0	91.411	100	111805	163	1.0	0
98	NZ_CP091031.1	1	163	58336	58498	1.13e-59	235.0	92.638	100	71807	163	1.0	0
61	NZ_CP091041.1	2	292	45083	45373	5.22e-117	427.0	93.127	67	100605	432	0.6736111111111112	0
55	NZ_CP091041.1	1	556	48054	48608	0.0	743.0	90.827	100	100605	556	1.0	0
98	NZ_CP091041.1	1	162	48667	48828	1.88e-62	244.0	93.827	99	100605	163	0.9938650306748468	0
98_R	NZ_CP091046.1	1	163	12936	13098	2.45e-56	224.0	91.411	100	79133	163	1.0	0
99	NZ_CP091309.1	1	50	480723	480772	3.28e-10	71.3	92.0	31	880277	159	0.3144654088050314	0
89	NZ_CP091309.1	1	171	480779	480948	1.98e-58	231.0	91.228	81	880277	210	0.8142857142857143	0
35_R	NZ_CP091575.1	1	2368	28478	30845	0.0	4368.0	99.958	84	65271	2828	0.8373408769448374	0
35_R	NZ_CP091638.1	1	2368	25158	27525	0.0	4373.0	100.0	84	59036	2828	0.8373408769448374	0
36_R	NZ_CP091663.1	611	2101	1	1491	0.0	2743.0	99.866	71	2101	2101	0.709662065683008	0
36	NZ_CP091690.1	206	2101	1	1896	0.0	3491.0	99.895	90	2101	2101	0.9024274155164208	0
36_R	NZ_CP091697.1	634	2101	1	1480	0.0	2645.0	99.055	100	2113	2101	0.6987148976677773	0
36_R	NZ_CP091697.1	1	633	1481	2113	0.0	1170.0	100.0	100	2113	2101	0.3012851023322228	0
35_R	NZ_CP091707.1	1	2368	24427	26794	0.0	4357.0	99.873	84	58398	2828	0.8373408769448374	0
36_R	NZ_CP091711.1	1227	2101	1	863	0.0	1522.0	98.288	100	2089	2101	0.4164683484055211	0
36_R	NZ_CP091711.1	1	1226	864	2089	0.0	2265.0	100.0	100	2089	2101	0.5835316515944788	0
132	NZ_CP091811.1	1	104	1917	2020	3.92e-47	193.0	100.0	100	16129	104	1.0	0
39_R	NZ_CP091811.1	1	1688	2111	3798	0.0	2724.0	95.799	100	16129	1688	1.0	0
113_R	NZ_CP091811.1	1	42	3810	3850	2.57e-10	71.3	97.619	32	16129	131	0.3206106870229007	0
57_R	NZ_CP091811.1	1	523	3859	4380	0.0	926.0	98.662	100	16129	523	1.0	0
99	NZ_CP091811.1	1	54	4428	4480	3.26e-15	87.9	96.296	34	16129	159	0.3396226415094339	0
89	NZ_CP091811.1	2	207	4487	4692	1.88e-93	348.0	97.087	98	16129	210	0.9809523809523808	0
68	NZ_CP091811.1	1	347	4697	5043	1.4e-156	558.0	95.677	100	16129	347	1.0	0
130_R	NZ_CP091811.1	11	93	5232	5313	1.52e-31	141.0	97.59	77	16129	108	0.7685185185185185	0
